College,Flutter (skill out of 5),Flask (skill out of 5),Firebase (skill out of 5),GCP (skill out of 5),AWS (skill out of 5),Predictive Modelling (skill out of 5),EDA (skill out of 5),NLP (skill out of 5)
JDIET,2,4,4,1,1,1,1,4
"Indian Institute of Information Technology Design and Manufacturing, Kurnool",4,1,1,3,1,4,5,4
Manipal Institute of technology ,2,2,2,1,1,2,2,2
Delhi Technological Univeesity,,4,,,,,3,
Jabalpur Engineering College,2,2,4,4,1,4,4,4
Muffakham Jah College Of Engineering and Technology,1,1,1,1,4,3,3,3
Govt. College of engineering and technology bikaner,1,5,,,,2,2,2
GRIET,3,3,3,3,4,3,2,3
Indian Institute of Information Technology Design and Manufacturing Kurnool ,1,1,1,1,1,2,2,1
DR. DR. shyama Prasad MUKHERJEE UNIVERSITY ,3,3,3,3,2,2,2,3
Vasavi College of Engineering,4,1,3,1,1,2,1,1
Vasavi College of Engineering,3,,2,1,,,,
Vasavi College Of Engineering,2,2,2,2,3,3,2,2
Vasavi college of engineering,2,,1,1,,,,
Sri Indu College Of Engineering and Technology,1,1,1,1,2,2,1,1
Vasavi college of engineering,3,,2,1,,2,1,
Indian Institute of Information Technology Dharwad,1,2,1,2,2,2,2,1
Vasavi College of Engineering ,3,,2,1,,,,
Karunya University,,,,,,5,5,4
Muffakham Jah College of engineering and technology,4,4,5,5,4,4,4,4
Vasavi College of Engineering ,3,,2,1,,,,
ABV IIITM Gwalior,3,1,3,1,1,1,1,1
Maharaja Agrasen institute of technology,1,1,1,1,1,2,4,3
Manipal Institute of Technology,1,1,1,1,1,4,4,2
Dayananda Sagar College of Engineering ,2,3,1,2,2,2,5,2
USICT ,1,3,3,3,3,5,5,5
Rajiv Gandhi Institute Of Petroleum Technology,4,2,4,1,1,3,4,1
Bhagwan Parshuram Institute of Technology,,3,2,,2,4,5,4
Siliguri Institute of Technology,1,1,2,2,2,3,3,3
"Shri Shankaracharya Technical Campus, Bhilai",2,1,2,2,2,3,3,2
Cummins College of engineering for women,1,1,1,3,1,3,4,2
Indira Gandhi Delhi Technical University For Women,1,1,1,1,1,4,4,4
"Cummins College of Engineering for Women, Pune",3,1,3,1,1,1,1,2
"St. Xavier's College, Kolkata",1,4,1,3,2,5,5,3
Kalyani Government Engineering College,1,2,1,1,2,1,2,3
IGDTUW,,1,,,,3,3,
TKM College of Engineering,1,5,4,2,3,3,4,4
RGIPT JAIS,,2,,2,,3,3,3
The Northcap University ,,,,,2,3,3,2
"USICT, GGSIPU main campus",1,3,3,2,1,4,4,4
"Cummins College of Engineering for Women, Pune",1,1,4,3,2,4,4,3
Cummins College of engineering ,2,1,2,,1,1,1,2
"Cummins college of engineering for women, Pune.",1,1,3,1,1,2,3,4
MKSSS'S Cummins college of engineering for women ,1,1,2,2,1,2,2,1
IIT Roorkee,1,1,1,1,3,4,4,3
Cummins college of engineering for women,1,1,1,1,2,2,2,1
JNTU Anantapur,1,1,1,1,3,2,3,1
"Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering &Technology, Hyderabad",1,2,1,1,1,2,2,1
"Cummins college of engineering, pune",1,1,1,1,1,1,1,1
Indira Gandhi Delhi Technical University for Women,1,4,1,2,1,5,4,2
Maharaja Agrasen Institute of Technology,1,3,1,1,3,4,4,4
Jaypee Institute of Information Technology Noida,1,1,2,2,1,2,1,1
"Birla institute of technology, Meara",1,2,3,2,2,3,3,3
Muffakham Jah College of Engineering and Technology,1,1,1,1,1,3,3,2
BITS Pilani Goa Campus,1,2,1,1,1,3,3,2
Maharaja Agrasen institute of technology,4,4,4,3,2,5,4,5
Manipal Institute of Technology,1,3,2,1,1,4,4,4
Sant Longowal Institute of Engineering and technology,1,1,1,1,1,3,4,3
"International institute of information technology, Hyderabad",1,4,3,4,2,4,1,1
S.s jain Subodh p.g college,1,1,1,1,1,1,1,1
Jain College of engineering,2,2,2,2,3,2,2,2
Muffakham Jah College of engineering and technology,1,2,1,1,1,3,3,2
Sardar Patel University,3,1,2,2,1,2,1,1
Vit Vellore,1,4,3,2,2,4,4,4
MJCET,1,1,1,1,1,2,2,2
Kiit University,3,2,3,3,2,3,4,3
KLS Gogte Institute Of Technology,4,2,5,3,3,2,2,2
G. Narayanamma Institute of Technology & Science,1,1,2,1,2,2,2,2
"Gurunanak Institute of Technology, Kolkata",,,,,,3,3,2
"Indiana University, Bloominton",1,2,1,3,3,5,5,5
MUFFAKHAM JAH college of engineering and technology ,3,3,3,3,3,3,3,3
Mahindra ecole centrale,3,2,2,3,4,5,5,4
Veer Surendra sai University of technology,1,1,2,1,2,2,2,
The Northcap University,1,1,2,1,3,4,4,1
"Gitam university, Vizag",1,1,1,1,3,3,4,2
Cummins college of engineering,1,1,2,1,1,2,2,1
Iiit Bangalore,1,1,1,1,1,3,4,2
Sinhagad Institute of Technology ,,,,,,3,3,3
Sri Krishna college of technology ,2,2,2,2,2,1,1,1
K.L.S Gogte Institute Of Technology,3,1,3,1,1,1,1,1
Cummins College of Engineering for Women ,4,2,4,3,3,1,1,1
SRM Institute of Science and Technology,1,3,1,1,3,2,4,3
"Gyan ganga institute of technology and sciences, jabalpur",1,3,3,2,3,5,5,5
Indira Gandhi Delhi Technical University For Women,2,1,2,1,2,1,1,1
"College of Technology, GBPUAT, Pantnagar, Uttarakhand",1,1,1,1,1,4,4,4
"MKSSS'S cummins college of engineering for women, Pune",3,2,4,4,3,5,5,4
Indira Gandhi Delhi Technical University for Women,,,,,,,,
Lalbhai Dalpatbhai College of Engineering,4,1,3,1,1,1,1,1
RNSIT,1,1,1,3,3,4,4,3
NIT Jalandhar,1,1,1,1,1,5,5,3
Delhi Technological university,,4,,,,,3,
Muffakham Jah College of engineering and technology,2,2,1,1,2,2,2,2
BITS Pilani ,1,1,1,1,1,3,3,3
Audisankara College of Engineering and Technology,1,1,1,1,1,4,5,4
"Veer Surendra Sai University of Technology, Burla",4,1,3,1,1,1,1,1
Government college of engineering Aurangabad,1,3,4,1,1,1,4,4
